datetime,library,opening_type,people_in,people_out
2020-01-03 08:00:00,Edgware,SSO,0,0
2020-01-03 08:00:00,Finchley Church End,SSO,0,0
2020-01-03 08:00:00,Golders Green,SSO,0,0
2020-01-03 08:00:00,North Finchley,SSO,0,0
2020-01-03 08:00:00,Osidge,SSO,1,4
2020-01-03 09:00:00,Chipping Barnet,SSO,4,3
2020-01-03 09:00:00,Colindale,SSO,7,2
2020-01-03 09:00:00,Edgware,SSO,0,0
2020-01-03 09:00:00,Finchley Church End,staffed,0,0
2020-01-03 09:00:00,Golders Green,staffed,0,0
2020-01-03 09:00:00,North Finchley,SSO,0,0
2020-01-03 09:00:00,Osidge,SSO,10,16
2020-01-03 10:00:00,Chipping Barnet,SSO,7,15
2020-01-03 10:00:00,Colindale,SSO,7,7
2020-01-03 10:00:00,Edgware,SSO,0,0
2020-01-03 10:00:00,Finchley Church End,staffed,0,0
2020-01-03 10:00:00,Golders Green,staffed,0,0
2020-01-03 10:00:00,North Finchley,SSO,0,0
2020-01-03 10:00:00,Osidge,SSO,7,10
2020-01-03 11:00:00,Chipping Barnet,SSO,15,9
2020-01-03 11:00:00,Colindale,SSO,13,14
2020-01-03 11:00:00,Edgware,SSO,0,0
2020-01-03 11:00:00,Finchley Church End,staffed,0,0
2020-01-03 11:00:00,Golders Green,staffed,0,0
2020-01-03 11:00:00,North Finchley,SSO,0,0
2020-01-03 11:00:00,Osidge,SSO,13,10
2020-01-03 12:00:00,Chipping Barnet,SSO,11,18
2020-01-03 12:00:00,Colindale,SSO,14,13
2020-01-03 12:00:00,Edgware,SSO,0,0
2020-01-03 12:00:00,Finchley Church End,staffed,0,0
2020-01-03 12:00:00,Golders Green,staffed,0,0
2020-01-03 12:00:00,North Finchley,SSO,0,0
2020-01-03 12:00:00,Osidge,SSO,21,16
2020-01-03 13:00:00,Chipping Barnet,SSO,15,9
2020-01-03 13:00:00,Colindale,SSO,26,18
2020-01-03 13:00:00,Edgware,SSO,0,0
2020-01-03 13:00:00,Finchley Church End,SSO,0,0
2020-01-03 13:00:00,Golders Green,SSO,0,0
2020-01-03 13:00:00,North Finchley,SSO,0,0
2020-01-03 13:00:00,Osidge,SSO,5,15
2020-01-03 14:00:00,Chipping Barnet,staffed,32,32
2020-01-03 14:00:00,Colindale,SSO,33,23
2020-01-03 14:00:00,Edgware,SSO,0,0
2020-01-03 14:00:00,Finchley Church End,SSO,0,0
2020-01-03 14:00:00,Golders Green,SSO,0,0
2020-01-03 14:00:00,North Finchley,staffed,0,0
2020-01-03 14:00:00,Osidge,SSO,6,10
2020-01-03 15:00:00,Chipping Barnet,staffed,29,48
2020-01-03 15:00:00,Colindale,SSO,42,19
2020-01-03 15:00:00,Edgware,SSO,0,0
2020-01-03 15:00:00,Finchley Church End,SSO,0,0
2020-01-03 15:00:00,Golders Green,SSO,0,0
2020-01-03 15:00:00,North Finchley,staffed,0,0
2020-01-03 15:00:00,Osidge,SSO,3,8
2020-01-03 16:00:00,Chipping Barnet,staffed,71,50
2020-01-03 16:00:00,Colindale,SSO,51,13
2020-01-03 16:00:00,Edgware,SSO,0,0
2020-01-03 16:00:00,Finchley Church End,SSO,0,0
2020-01-03 16:00:00,Golders Green,SSO,0,0
2020-01-03 16:00:00,North Finchley,staffed,0,0
2020-01-03 16:00:00,Osidge,SSO,4,15
2020-01-03 17:00:00,Chipping Barnet,SSO,31,29
2020-01-03 17:00:00,Colindale,SSO,21,12
2020-01-03 17:00:00,Edgware,SSO,0,0
2020-01-03 17:00:00,Finchley Church End,SSO,0,0
2020-01-03 17:00:00,Golders Green,SSO,0,0
2020-01-03 17:00:00,North Finchley,SSO,0,0
2020-01-03 17:00:00,Osidge,SSO,9,10
2020-01-03 18:00:00,Chipping Barnet,SSO,11,12
2020-01-03 18:00:00,Colindale,SSO,12,4
2020-01-03 18:00:00,Edgware,SSO,0,0
2020-01-03 18:00:00,Finchley Church End,SSO,0,0
2020-01-03 18:00:00,Golders Green,SSO,0,0
2020-01-03 18:00:00,North Finchley,SSO,0,0
2020-01-03 18:00:00,Osidge,SSO,9,12
2020-01-03 19:00:00,Chipping Barnet,SSO,21,14
2020-01-03 19:00:00,Colindale,SSO,12,5
2020-01-03 19:00:00,Edgware,SSO,0,0
2020-01-03 19:00:00,Finchley Church End,SSO,0,0
2020-01-03 19:00:00,Golders Green,SSO,0,0
2020-01-03 19:00:00,North Finchley,SSO,0,0
2020-01-03 19:00:00,Osidge,SSO,3,1
2020-01-03 20:00:00,Chipping Barnet,SSO,12,8
2020-01-03 20:00:00,Colindale,SSO,11,5
2020-01-03 20:00:00,Edgware,SSO,0,0
2020-01-03 20:00:00,Finchley Church End,SSO,0,0
2020-01-03 20:00:00,Golders Green,closed,0,0
2020-01-03 20:00:00,North Finchley,closed,0,0
2020-01-03 20:00:00,Osidge,closed,0,0
2020-01-03 21:00:00,Chipping Barnet,SSO,11,7
2020-01-03 21:00:00,Colindale,SSO,12,1
2020-01-03 21:00:00,Edgware,SSO,0,0
2020-01-03 21:00:00,Finchley Church End,SSO,0,0
2020-01-03 21:00:00,Golders Green,closed,0,0
